"Method","Uri","Modules","OurName","Action","ShipsAs","CounterpartUris","CounterpartShipsAs"
"GET","/identitygovernance/entitlementmanagement/catalogs/{}/resources/{}/roles/{}/resource/uploadsessions/{}/files/{}/$value","Identity.Governance","Get-MgIdentityGovernanceEntitlementManagementCatalogResourceRoleResourceUploadSessionFileContent","suppress","System.Object[]","/identitygovernance/entitlementmanagement/catalogs/{}/resourceroles/{}/resource/uploadsessions/{}/files/{}/$value",""
"GET","/identitygovernance/entitlementmanagement/catalogs/{}/resources/{}/roles/{}/resource/uploadsessions/{}/files/$count","Identity.Governance","Get-MgIdentityGovernanceEntitlementManagementCatalogResourceRoleResourceUploadSessionFileCount","suppress","System.Object[]","/identitygovernance/entitlementmanagement/catalogs/{}/resourceroles/{}/resource/uploadsessions/{}/files/$count",""
"GET","/identitygovernance/entitlementmanagement/catalogs/{}/resources/{}/roles/{}/resource/uploadsessions/$count","Identity.Governance","Get-MgIdentityGovernanceEntitlementManagementCatalogResourceRoleResourceUploadSessionCount","suppress","System.Object[]","/identitygovernance/entitlementmanagement/catalogs/{}/resourceroles/{}/resource/uploadsessions/$count",""
"GET","/identitygovernance/entitlementmanagement/catalogs/{}/resources/{}/roles/$count","Identity.Governance","Get-MgIdentityGovernanceEntitlementManagementCatalogResourceRoleCount","suppress","System.Object[]","/identitygovernance/entitlementmanagement/catalogs/{}/resourceroles/$count","Get-MgEntitlementManagementCatalogResourceRoleCount"
"GET","/identitygovernance/entitlementmanagement/catalogs/{}/resources/{}/scopes","Identity.Governance","Get-MgIdentityGovernanceEntitlementManagementCatalogResourceScope","suppress","System.Object[]","/identitygovernance/entitlementmanagement/catalogs/{}/resources/{}/scopes/{};/identitygovernance/entitlementmanagement/catalogs/{}/resourcescopes;/identitygovernance/entitlementmanagement/catalogs/{}/resourcescopes/{}","Get-MgEntitlementManagementCatalogResourceScope"
"GET","/identitygovernance/entitlementmanagement/catalogs/{}/resources/{}/scopes/{}","Identity.Governance","Get-MgIdentityGovernanceEntitlementManagementCatalogResourceScope","suppress","System.Object[]","/identitygovernance/entitlementmanagement/catalogs/{}/resources/{}/scopes",""
"GET","/identitygovernance/entitlementmanagement/catalogs/{}/resources/{}/scopes/{}/resource","Identity.Governance","Get-MgIdentityGovernanceEntitlementManagementCatalogResourceScopeResource","rename","System.Object[]","/identitygovernance/entitlementmanagement/catalogs/{}/resourcescopes/{}/resource",""
"GET","/identitygovernance/entitlementmanagement/catalogs/{}/resources/{}/scopes/{}/resource/environment","Identity.Governance","Get-MgIdentityGovernanceEntitlementManagementCatalogResourceScopeResourceEnvironment","rename","System.Object[]","/identitygovernance/entitlementmanagement/catalogs/{}/resourcescopes/{}/resource/environment",""
"GET","/identitygovernance/entitlementmanagement/catalogs/{}/resources/{}/scopes/{}/resource/externaloriginresourceconnector","Identity.Governance","Get-MgIdentityGovernanceEntitlementManagementCatalogResourceScopeResourceExternalOriginResourceConnector","suppress","System.Object[]","/identitygovernance/entitlementmanagement/catalogs/{}/resourcescopes/{}/resource/externaloriginresourceconnector",""
"GET","/identitygovernance/entitlementmanagement/catalogs/{}/resources/{}/scopes/{}/resource/roles","Identity.Governance","Get-MgIdentityGovernanceEntitlementManagementCatalogResourceScopeResourceRole","rename","System.Object[]","/identitygovernance/entitlementmanagement/catalogs/{}/resources/{}/scopes/{}/resource/roles/{};/identitygovernance/entitlementmanagement/catalogs/{}/resourcescopes/{}/resource/roles;/identitygovernance/entitlementmanagement/catalogs/{}/resourcescopes/{}/resource/roles/{}","Get-MgEntitlementManagementCatalogResourceScopeResourceRole"
"GET","/identitygovernance/entitlementmanagement/catalogs/{}/resources/{}/scopes/{}/resource/roles/{}","Identity.Governance","Get-MgIdentityGovernanceEntitlementManagementCatalogResourceScopeResourceRole","rename","System.Object[]","/identitygovernance/entitlementmanagement/catalogs/{}/resources/{}/scopes/{}/resource/roles","Get-MgEntitlementManagementCatalogResourceScopeResourceRole"
"GET","/identitygovernance/entitlementmanagement/catalogs/{}/resources/{}/scopes/{}/resource/roles/{}/resource","Identity.Governance","Get-MgIdentityGovernanceEntitlementManagementCatalogResourceScopeResourceRoleResource","rename","System.Object[]","/identitygovernance/entitlementmanagement/catalogs/{}/resourcescopes/{}/resource/roles/{}/resource",""
"GET","/identitygovernance/entitlementmanagement/catalogs/{}/resources/{}/scopes/{}/resource/roles/{}/resource/environment","Identity.Governance","Get-MgIdentityGovernanceEntitlementManagementCatalogResourceScopeResourceRoleResourceEnvironment","rename","System.Object[]","/identitygovernance/entitlementmanagement/catalogs/{}/resourcescopes/{}/resource/roles/{}/resource/environment",""
